Genotype,Sample,X,Y
1214,2240,84.58333,0.709843297
1214,2240,84.61667,0.7151500274
1214,2240,84.65,0.718526627
1214,2240,84.68333,0.7195924632
1214,2240,84.71667,0.7176972677
1214,2240,84.75,0.7121233632
1214,2240,84.78333,0.7022341748
1214,2240,84.81667,0.6877175363
1214,2240,84.85,0.6683423834
1214,2240,84.88333,0.6440676752
1214,2240,84.91667,0.6156124618
1214,2240,84.95,0.5838858165
1214,2240,84.98333,0.5498042031
1214,2240,85.01667,0.5143136461
1214,2240,85.05,0.4783675608
1214,2240,85.08333,0.4428756043
1214,2240,85.11667,0.4085724015
1214,2240,85.15,0.3761488193
1214,2240,85.18333,0.3461841071
1214,2240,85.21667,0.3188110444
1214,2240,85.25,0.2940507935
1214,2240,85.28333,0.2718860795
1214,2240,85.31667,0.2521458809
1214,2240,85.35,0.2346207391
1214,2240,85.38333,0.219098135
1214,2240,85.41667,0.2053533068
1214,2240,85.45,0.1931584322
1214,2240,85.48333,0.1823175055
1214,2240,85.51667,0.1727617882
1214,2240,85.55,0.1644543584
1214,2240,85.58333,0.1573667562
1214,2240,85.61667,0.1515043692
1214,2240,85.65,0.1468810467
1214,2240,85.68333,0.1434905426
1214,2240,85.71667,0.1412462286
1214,2240,85.75,0.140041381
1214,2240,85.78333,0.13976158
1214,2240,85.81667,0.1402616225
1214,2240,85.85,0.1413886091
1214,2240,85.88333,0.1429861129
1214,2240,85.91667,0.1448835953
1214,2240,85.95,0.1469069899
1214,2240,85.98333,0.1489090592
1214,2240,86.01667,0.1508498825
1214,2240,86.05,0.1527163679
1214,2240,86.08333,0.1544934577
1214,2240,86.11667,0.1561582291
1214,2240,86.15,0.1576857934
1214,2240,86.18333,0.1590596763
1214,2240,86.21667,0.1602970615
1214,2240,86.25,0.1614235473
1214,2240,86.28333,0.16242771
1214,2240,86.31667,0.1631500384
1214,2240,86.35,0.1633939997
1214,2240,86.38333,0.1629492783
1214,2240,86.41667,0.1615504285
1214,2240,86.45,0.1589182218
1214,2240,86.48333,0.154851468
